insert into member values('bangle0', 'singlebangletest!0', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle25', 'singlebangletest!25', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle26', 'singlebangletest!26', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle27', 'singlebangletest!27', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle28', 'singlebangletest!28', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle29', 'singlebangletest!29', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle30', 'singlebangletest!30', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle31', 'singlebangletest!31', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle32', 'singlebangletest!32', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle33', 'singlebangletest!33', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle34', 'singlebangletest!34', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle35', 'singlebangletest!35', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle36', 'singlebangletest!36', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle37', 'singlebangletest!37', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle38', 'singlebangletest!38', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle39', 'singlebangletest!39', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle40', 'singlebangletest!40', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle41', 'singlebangletest!41', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle42', 'singlebangletest!42', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle43', 'singlebangletest!43', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle44', 'singlebangletest!44', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle45', 'singlebangletest!45', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle46', 'singlebangletest!46', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle47', 'singlebangletest!47', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle48', 'singlebangletest!48', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle49', 'singlebangletest!49', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle50', 'singlebangletest!50', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle51', 'singlebangletest!51', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle52', 'singlebangletest!52', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle53', 'singlebangletest!53', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle54', 'singlebangletest!54', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle55', 'singlebangletest!55', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle56', 'singlebangletest!56', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle57', 'singlebangletest!57', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle58', 'singlebangletest!58', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle59', 'singlebangletest!59', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle60', 'singlebangletest!60', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle61', 'singlebangletest!61', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle62', 'singlebangletest!62', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle63', 'singlebangletest!63', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle64', 'singlebangletest!64', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle65', 'singlebangletest!65', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle66', 'singlebangletest!66', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle67', 'singlebangletest!67', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle68', 'singlebangletest!68', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle69', 'singlebangletest!69', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle70', 'singlebangletest!70', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle71', 'singlebangletest!71', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle72', 'singlebangletest!72', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle73', 'singlebangletest!73', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle74', 'singlebangletest!74', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle75', 'singlebangletest!75', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle76', 'singlebangletest!76', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle77', 'singlebangletest!77', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle78', 'singlebangletest!78', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle79', 'singlebangletest!79', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle80', 'singlebangletest!80', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle81', 'singlebangletest!81', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle82', 'singlebangletest!82', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle83', 'singlebangletest!83', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle84', 'singlebangletest!84', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle85', 'singlebangletest!85', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle86', 'singlebangletest!86', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle87', 'singlebangletest!87', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle88', 'singlebangletest!88', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle89', 'singlebangletest!89', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle90', 'singlebangletest!90', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle91', 'singlebangletest!91', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle92', 'singlebangletest!92', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle93', 'singlebangletest!93', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle94', 'singlebangletest!94', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle95', 'singlebangletest!95', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle96', 'singlebangletest!96', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle97', 'singlebangletest!97', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle98', 'singlebangletest!98', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle99', 'singlebangletest!99', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle100', 'singlebangletest!100', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle101', 'singlebangletest!101', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle102', 'singlebangletest!102', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle103', 'singlebangletest!103', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle104', 'singlebangletest!104', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle105', 'singlebangletest!105', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle106', 'singlebangletest!106', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle107', 'singlebangletest!107', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle108', 'singlebangletest!108', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle109', 'singlebangletest!109', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle110', 'singlebangletest!110', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle111', 'singlebangletest!111', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle112', 'singlebangletest!112', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle113', 'singlebangletest!113', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle114', 'singlebangletest!114', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle115', 'singlebangletest!115', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle116', 'singlebangletest!116', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle117', 'singlebangletest!117', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle118', 'singlebangletest!118', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle119', 'singlebangletest!119', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle120', 'singlebangletest!120', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle121', 'singlebangletest!121', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle122', 'singlebangletest!122', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle123', 'singlebangletest!123', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle124', 'singlebangletest!124', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle125', 'singlebangletest!125', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle126', 'singlebangletest!126', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle127', 'singlebangletest!127', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle128', 'singlebangletest!128', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle129', 'singlebangletest!129', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle130', 'singlebangletest!130', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle131', 'singlebangletest!131', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle132', 'singlebangletest!132', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle133', 'singlebangletest!133', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle134', 'singlebangletest!134', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle135', 'singlebangletest!135', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle136', 'singlebangletest!136', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle137', 'singlebangletest!137', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle138', 'singlebangletest!138', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle139', 'singlebangletest!139', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle140', 'singlebangletest!140', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle141', 'singlebangletest!141', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle142', 'singlebangletest!142', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle143', 'singlebangletest!143', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle144', 'singlebangletest!144', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle145', 'singlebangletest!145', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle146', 'singlebangletest!146', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle147', 'singlebangletest!147', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle148', 'singlebangletest!148', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle149', 'singlebangletest!149', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle150', 'singlebangletest!150', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle151', 'singlebangletest!151', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
